committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q1,201704149052235969,23,SB23.242787,1157687,ORG,ORGANIZATION,,JHE PRODUCTION GROUP,NC,,,,VOIDED CHECK: SERVICES NOT RENDERED,,,2017-02-21 00:00:00,-34000.00,,,,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-02 00:29:17.177814,,,,0.00,F3P,4041420171398577766,HARRISBURG,28075,OTHER,,2018,SB,4042720171400536698,http://docquery.fec.gov/cgi-bin/fecimg/?201704149052235969,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q1,201704149052236105,23,SB23.242840,1157687,ORG,ORGANIZATION,,WNC AGRICULTURAL CENTER,NC,,,,VOIDED CHECK: OVERPAYMENT,,,2017-02-21 00:00:00,-28732.00,,,,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-02 00:29:17.177814,,,,0.00,F3P,4041420171398577766,FLETCHER,28732,OTHER,,2018,SB,4042720171400537512,http://docquery.fec.gov/cgi-bin/fecimg/?201704149052236105,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q1,201704149052236020,23,SB23.242838,1157687,ORG,ORGANIZATION,,RENO - SPARKS CONVENTION CENTER,NV,,,,VOIDED CHECK: OVERPAYMENT,,,2017-02-21 00:00:00,-27620.00,,,,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-02 00:29:17.177814,,,,0.00,F3P,4041420171398577766,RENO,89502,OTHER,,2018,SB,4042720171400537003,http://docquery.fec.gov/cgi-bin/fecimg/?201704149052236020,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q1,201704149052236030,23,SB23.242789,1157687,IND,INDIVIDUAL,,"SCOTT, ROBERT L",OH,,,,VOIDED CHECK: OVERPAYMENT,,,2017-02-21 00:00:00,-14194.10,,,,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-02 00:29:17.177814,,,,0.00,F3P,4041420171398577766,KETTERING,45420,OTHER,,2018,SB,4042720171400537064,http://docquery.fec.gov/cgi-bin/fecimg/?201704149052236030,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q1,201704149052235765,23,SB23.242783,1157687,ORG,ORGANIZATION,,"ADVANCE STRATEGIES, LLC",VA,,,,VOIDED CHECK: SERVICES NOT RENDERED,,,2017-02-21 00:00:00,-12373.20,,,,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-02 00:29:17.177814,,,,0.00,F3P,4041420171398577766,ARLINGTON,22207,OTHER,,2018,SB,4042720171400535480,http://docquery.fec.gov/cgi-bin/fecimg/?201704149052235765,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q1,201704149052235911,23,SB23.242791,1157687,IND,INDIVIDUAL,,"GRIFFITH, PRESTON WELLS",VA,,,,VOIDED CHECK: OVERPAYMENT,,,2017-02-21 00:00:00,-12000.00,,,,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-02 00:29:17.177814,,,,0.00,F3P,4041420171398577766,ALEXANDRIA,22314,OTHER,,2018,SB,4042720171400536350,http://docquery.fec.gov/cgi-bin/fecimg/?201704149052235911,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q1,201704149052236012,23,SB23.242785,1157687,ORG,ORGANIZATION,,"PITCOCK CONSULTING, LLC",DC,,,,VOIDED CHECK: SERVICES NOT RENDERED,,,2017-02-21 00:00:00,-11612.90,,,,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-02 00:29:17.177814,,,,0.00,F3P,4041420171398577766,WASHINGTON,20011,OTHER,,2018,SB,4042720171400536956,http://docquery.fec.gov/cgi-bin/fecimg/?201704149052236012,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q1,201704149052235766,23,SB23.242832,1157687,IND,INDIVIDUAL,,"AHEARN, FREDERICK L",VA,,,,VOIDED CHECK: OVERPAYMENT,,,2017-02-21 00:00:00,-10848.00,,,,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-02 00:29:17.177814,,,,0.00,F3P,4041420171398577766,ALEXANDRIA,22309,OTHER,,2018,SB,4042720171400535484,http://docquery.fec.gov/cgi-bin/fecimg/?201704149052235766,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q1,201704149052236003,23,SB23.242779,1157687,ORG,ORGANIZATION,,PARTY SUPPLIERS AND RENTALS,NC,,,,VOIDED CHECK: OVERPAYMENT,,,2017-02-21 00:00:00,-7745.73,,,,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-02 00:29:17.177814,,,,0.00,F3P,4041420171398577766,WILMINGTON,28406,OTHER,,2018,SB,4042720171400536902,http://docquery.fec.gov/cgi-bin/fecimg/?201704149052236003,Operating Expenditures
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2017,Q1,201704149052236028,23,SB23.242775,1157687,ORG,ORGANIZATION,,ROCK SPRINGS CENTER,NC,,,,VOIDED CHECK: OVERPAYMENT,,,2017-02-21 00:00:00,-6033.95,,,,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-02 00:29:17.177814,,,,0.00,F3P,4041420171398577766,GREENVILLE,27834,OTHER,,2018,SB,4042720171400537049,http://docquery.fec.gov/cgi-bin/fecimg/?201704149052236028,Operating Expenditures
